name,sex,p_birth,p_death,d_birth,d_death,Hebrew Speaker
יצחק ליבוש פרץ,male,Zamość,Warsaw,1852-05-18,03/04/1915,TRUE
יצחק מירקין,male,Israel,Israel,1871-12-07,04/07/1941,TRUE
יצחק קצנלסון,male,KaKarelichy,Auschwitz II-Birkenau,1886-07-01,01/05/1944,TRUE
ישראל דושמן,male,Vilnius,Tel Aviv,1884-01-01,14/07/1947,TRUE
ישראל חצקביץ,male,Ukraine,Givat Hashlosha,1897-09-15,23/02/1939,TRUE
לאופולד שפר,male,Germany,Germany,1784-12-28,11/18/1862  ,FALSE
לואיס קמואנס,male,Spain,Spain,1524-10-23,1580-01-20,FALSE
לודוויג רלשטאב,male,Germany,Germany,1799-08-05,1860-07-06,FALSE
לוי אבן מר שאול,male,Spain,Spain,970-01-01,1090-01-01,TRUE
לורד ביירון,male,London,Missolonghi,1788-01-22,1824-04-19,FALSE
לייזר וולף,male,Vilnius,Samarqand Region,01/01/1910,01/01/1943,FALSE
מאיר הלוי לטריס,male,Zhovkva,Vienna,1800-09-13,1871-05-19,TRUE
מיכאיל לרמונטוב,male,Moscow,Pyatigorsk,1814-10-15,1841-07-27,FALSE
מיכה יוסף לבנזון,male,Vilnius,Vilnius,1828-02-22,1852-02-17,TRUE
מנחם מנדל דוליצקי,male,Poland,USA,1856-02-22,22/02/1931,TRUE
מרדכי צבי מאנה,male,Radashkovichy,Radashkovichy,1859-05-05,1886-10-15,TRUE
משה אבן אלתקאנה,male,Spain,Spain,1000-02-07,1050-02-07,TRUE
משה אבן עזרא,male,Granada,Granada,1055-01-01,1140-01-01,TRUE
משה חיים לוצטו,male,Padua,Acre,1707-01-01,1746-05-16,TRUE
משה יעקב בן דוד אוטולנגי,male,Greece,Greece,9/28/1840  ,28/09/1901,TRUE
מתתיהו שוהם,male,Warsaw,Warsaw,1893-01-01,04/07/1937,TRUE
נח פינס,male,Poland,Israel,1871-09-01,22/06/1939,TRUE
נחום סוקולוב,male,Wyszogród,London,1859-01-10,17/05/1936,TRUE
נפתלי הרץ אימבר,male,Zolochiv,Manhattan,1856-12-27,08/10/1909,TRUE
סרגי יסנין,male,Konstantinovo,Saint Petersburg,1895-03-28,28/12/1925,FALSE
עומר כיאם,male,Nishapur,Nishapur,1048-05-18,1131-12-04,FALSE
עמנואל הרומי,male,Rome,Fermo,1260-01-01,1336-01-01,TRUE
פּוֹל וֶרלֶן,male,France,France,1844-08-05,1896-07-06,FALSE
פניה ברגשטיין,female,Szczuczyn,Afula,11/04/1908,18/09/1950,TRUE
פסח גינזבורג,male,Lipnik,Jerusalem,1894-04-28,29/01/1947,TRUE
